"reviews"	Translation	Positive	Negative	EmotionRationale
"18" "Ads pop up at the most inopportune moments, such as when trying to add an expense. Once the ad is finished, and you X-it, the app has exited your progress on adding your expense, by bringing you automatically back to the main menu. I wouldn't be irritated if it was a one off thing, but it happened thrice in a row. Cant deal with that, sorry. Other than not being able to add expenses, it's a decent app. But I hate ads. 2/5."	"18" "Ads pop up at the most inopportune moments, such as when trying to add an expense.<br> Once the ad is finished, and you X-it, the ap has exited your progress on adding your expense, by bringing you automatically back to the main menu.<br> I wouldn't be irritated if it was a one off thing, but it happened thrice in a row.<br> Cant deal with that, sorry.<br> Other than not being able to add expenses, it's a decent ap.<br> But I hate ads.<br> 2/5.	3	-4	 "18[0] Ads[0] pop[0] up[0] at[0] the[0] most[0] inopportune[0] moments[0] such[0] as[0] when[0] trying[0] to[0] add[0] an[0] expense[-1] [[Sentence=-2,1=word max, 1-5]] Once[0] the[0] ad[0] is[0] finished[0] and[0] you[0] X[1] it[0] the[0] app/ap[0] has[0] exited[0] your[0] progress[0] on[0] adding[0] your[0] expense[-1] by[0] bringing[0] you[0] automatically[0] back[0] to[0] the[0] main[0] menu[0] [[Sentence=-2,2=word max, 1-5]] I[0] wouldn't[0] be[0] irritated[-2][NegatedDueToPreviousWord] if[0] it[0] was[0] a[0] one[0] off[0] thing[0] but[0] it[0] happened[0] thrice[0] in[0] a[0] row[0] [[Sentence=-1,3=word max, 1-5]] Cant[0] deal[0] with[0] that[0] sorry[-1] [[Sentence=-2,1=word max, 1-5]] Other[0] than[0] not[0] being[0] able[0] to[0] add[0] expenses[0] it's[0] a[0] decent[0] app/ap[0] [[Sentence=-1,1=word max, 1-5]] But[0] I[0] hate[-3] ads[0] [[Sentence=-4,1=word max, 1-5]] 2/5[0] [[Sentence=-1,1=word max, 1-5]][[[3,-4 max of sentences]]]
"19" "Nice interface. I'm yet to use it but having gone through it I think it'll be very helpful. It got the right kind of information and records I need to keep. Why do I need the pro version? I'm interested. Updated : This app is super good. I think is the best for every farmer. I'm really enjoying it. I only have little issue with it that needs to be fixed; the font colour for options for the expenditure category must be changed to black or to another colour, is white and is hard to see."	"19" "Nice interface.<br> I'm yet to use it but having gone through it I think it'll be very helpful.<br> It got the right kind of information and records I need to keep.<br> Why do I need the pro version?<br> I'm interested.<br> Updated : This ap is super good.<br> I think is the best for every farmer.<br> I'm really enjoying it.<br> I only have little issue with it that needs to be fixed; the font colour for options for the expenditure category must be changed to black or to another colour, is white and is hard to see.	4	-1	 "19[0] Nice[1] interface[0] [[Sentence=-1,2=word max, 1-5]] I'm[0] yet[0] to[0] use[0] it[0] but[0] having[0] gone[0] through[0] it[0] I[0] think[0] it'll[0] be[0] very[0] helpful[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]] It[0] got[0] the[0] right[0] kind[1] of[0] information[0] and[0] records[0] I[0] need[0] to[0] keep[0] [[Sentence=-1,2=word max, 1-5]] Why[0] do[0] I[0] need[0] the[0] pro[0] version[0] [[Sentence=-1,1=word max, 1-5]] I'm[0] interested[1] [[Sentence=-1,2=word max, 1-5]] Updated[0] This[0] app/ap[0] is[0] super[2] good[1] [[Sentence=-1,3=word max, 1-5]] I[0] think[0] is[0] the[0] best[1] for[0] every[0] farmer[0] [[Sentence=-1,2=word max, 1-5]] I'm[0] really[0] enjoying[2][1 LastWordBoosterStrength] it[0] [[Sentence=-1,4=word max, 1-5]] I[0] only[0] have[0] little[0] issue[0] with[0] it[0] that[0] needs[0] to[0] be[0] fixed[0] the[0] font[0] colour[0] for[0] options[0] for[0] the[0] expenditure[0] category[0] must[0] be[0] changed[0] to[0] black[0] or[0] to[0] another[0] colour[0] is[0] white[0] and[0] is[0] hard[0] to[0] see[0] [[Sentence=-1,1=word max, 1-5]][[[4,-1 max of sentences]]]
"20" "Highly recommend. Very easy to use and makes keeping track of farm income/ expenses very easy."	"20" "Highly recommend.<br> Very easy to use and makes keeping track of farm income/ expenses very easy.	1	-1	 "20[0] Highly[0] recommend[0] [[Sentence=-1,1=word max, 1-5]] Very[0] easy[0] to[0] use[0] and[0] makes[0] keeping[0] track[0] of[0] farm[0] income/[0] expenses[0] very[0] easy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"21" "Does the app sync online? I just lost my phone and wondering if i have to restart once i download it again"	"21" "Does the ap sync online?<br> I just lost my phone and wondering if i have to restart once i download it again"	1	-1	 "21[0] Does[0] the[0] app/ap[0] sync[0] online[0] [[Sentence=-1,1=word max, 1-5]] I[0] just[0] lost[0] my[0] phone[0] and[0] wondering[0] if[0] i[0] have[0] to[0] restart[0] once[0] i[0] download[0] it[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"22" "Exceptionally simple and straight forward! definitely, I will not stop recommending this app to others. I like the fact that I can choose the currency! You could improve further by creating a filter for income and expenses per farm item, to see viability of each farm item! Could you incorporate/develop an app for Livestock management especially stock management (Male, Female, Young, Adult, culled, etc)? Thanks and well done."	"22" "Exceptionally simple and straight forward!<br> definitely, I will not stop recommending this ap to others.<br> I like the fact that I can choose the currency!<br> You could improve further by creating a filter for income and expenses per farm item, to see viability of each farm item!<br> Could you incorporate/develop an ap for Livestock management especially stock management (Male, Female, Young, Adult, culled, etc)<br> Thanks and well done.	2	-1	 "22[0] Exceptionally[0] simple[0] and[0] straight[0] forward[0] [[Sentence=-1,1=word max, 1-5]] definitely[0] I[0] will[0] not[0] stop[0] recommending[0] this[0] app/ap[0] to[0] others[0] [[Sentence=-1,1=word max, 1-5]] I[0] like[1] the[0] fact[0] that[0] I[0] can[0] choose[0] the[0] currency[0] [[Sentence=-1,2=word max, 1-5]] You[0] could[0] improve[1][-1 LastWordBoosterStrength] further[0] by[0] creating[0] a[0] filter[0] for[0] income[0] and[0] expenses[0] per[0] farm[0] item[0] to[0] see[0] viability[0] of[0] each[0] farm[0] item[0] [[Sentence=-1,1=word max, 1-5]] Could[0] you[0] incorporate/develop[0] an[0] app/ap[0] for[0] Livestock[0] management[0] especially[0] stock[0] management[0] Male[0] Female[0] Young[0] Adult[0] culled[0] etc[0] [[Sentence=-1,1=word max, 1-5]] Thanks[1] and[0] well[0] done[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"23" "App works and suits perfectly for my farm incomes and expenses tracking . Very User friendly . A suggestion if you could add an option of attaching a photo of the bill with the expenses and income . Also another option of entering receipts and payments . This would allow the farmer to completely keep track of everything . It would become a complete accounting app . All the very best to the developer  U 0001F60A  U 0001F44D  U 0001F3FC  ."	"23" "Ap works and suits perfectly for my farm incomes and expenses tracking .<br> Very User friendly .<br> A suggestion if you could add an option of attaching a photo of the bill with the expenses and income .<br> Also another option of entering receipts and payments .<br> This would allow the farmer to completely keep track of everything .<br> It would become a complete accounting ap .<br> All the very best to the developer  U 001F60A  U 001F44D  U 001F3FC  .	3	-1	 "23[0] App/Ap[0] works[0] and[0] suits[0] perfectly[1] for[0] my[0] farm[0] incomes[0] and[0] expenses[0] tracking[0] [[Sentence=-1,2=word max, 1-5]] Very[0] User[0] friendly[1] [[Sentence=-1,2=word max, 1-5]] A[0] suggestion[0] if[0] you[0] could[0] add[0] an[0] option[0] of[0] attaching[0] a[0] photo[0] of[0] the[0] bill[0] with[0] the[0] expenses[0] and[0] income[0] [[Sentence=-1,1=word max, 1-5]] Also[0] another[0] option[0] of[0] entering[0] receipts[0] and[0] payments[0] [[Sentence=-1,1=word max, 1-5]] This[0] would[0] allow[0] the[0] farmer[0] to[0] completely[0] keep[0] track[0] of[0] everything[0] [[Sentence=-1,1=word max, 1-5]] It[0] would[0] become[0] a[0] complete[0] accounting[0] app/ap[0] [[Sentence=-1,1=word max, 1-5]] All[0] the[0] very[0] best[1][1 LastWordBoosterStrength] to[0] the[0] developer[0] U[0] 0001F60A/001F60A[0] U[0] 0001F44D/001F44D[0] U[0] 0001F3FC/001F3FC[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"24" "I just started using the app and so far it's going to work fine for my little hobby operation. But it would be nice if I could track commodity sales volumes to individual customers in the analytics. I sell grain to small customers and I would like to be able to see how much volume (bushels, pounds, tons, etc) and how much money I've been paid for each customer."	"24" "I just started using the ap and so far it's going to work fine for my little hobby operation.<br> But it would be nice if I could track commodity sales volumes to individual customers in the analytics.<br> I sell grain to small customers and I would like to be able to see how much volume (bushels, pounds, tons, etc) and how much money I've been paid for each customer.	3	-1	 "24[0] I[0] just[0] started[0] using[0] the[0] app/ap[0] and[0] so[0] far[0] it's[0] going[0] to[0] work[0] fine[2] for[0] my[0] little[0] hobby[0] operation[0] [[Sentence=-1,3=word max, 1-5]] But[0] it[0] would[0] be[0] nice[1] if[0] I[0] could[0] track[0] commodity[0] sales[0] volumes[0] to[0] individual[0] customers[0] in[0] the[0] analytics[0] [[Sentence=-1,2=word max, 1-5]] I[0] sell[0] grain[0] to[0] small[0] customers[0] and[0] I[0] would[0] like[1][-1 LastWordBoosterStrength] to[0] be[0] able[0] to[0] see[0] how[0] much[0] volume[0] bushels[0] pounds[0] tons[0] etc[0] and[0] how[0] much[0] money[0] I've[0] been[0] paid[0] for[0] each[0] customer[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
"25" "Thanks you. So far its been great have had it almost 2 months now and it is helping me alot. Especially on the reminder at first thought oh good grief but than when i forgot to write something on one of the expenses when it reminded me the next day asking was there anything i was able to remember i had forgotten to put in the expense for the roll of hay. While some people might not think that is important to a person running the farm that needs to know where all the expenses go it is great"	"25" "Thanks you.<br> So far its been great have had it almost 2 months now and it is helping me alot.<br> Especially on the reminder at first thought oh good grief but than when i forgot to write something on one of the expenses when it reminded me the next day asking was there anything i was able to remember i had forgotten to put in the expense for the roll of hay.<br> While some people might not think that is important to a person running the farm that needs to know where all the expenses go it is great"	3	-4	 "25[0] Thanks[1] you[0] [[Sentence=-1,2=word max, 1-5]] So[0] far[0] its[0] been[0] great[2] have[0] had[0] it[0] almost[0] 2[0] months[0] now[0] and[0] it[0] is[0] helping[0] me[0] alot[0] [[Sentence=-1,3=word max, 1-5]] Especially[0] on[0] the[0] reminder[0] at[0] first[0] thought[0] oh[0] good[1] grief[-3] but[0] than[0] when[0] i[0] forgot[0] to[0] write[0] something[0] on[0] one[0] of[0] the[0] expenses[0] when[0] it[0] reminded[0] me[0] the[0] next[0] day[0] asking[0] was[0] there[0] anything[0] i[0] was[0] able[0] to[0] remember[0] i[0] had[0] forgotten[0] to[0] put[0] in[0] the[0] expense[-1] for[0] the[0] roll[0] of[0] hay[0] [[Sentence=-4,2=word max, 1-5]] While[0] some[0] people[0] might[0] not[0] think[0] that[0] is[0] important[0] to[0] a[0] person[0] running[0] the[0] farm[0] that[0] needs[0] to[0] know[0] where[0] all[0] the[0] expenses[0] go[0] it[0] is[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-4 max of sentences]]]
"26" "I like this app for its usability and the accurate accounting. It has made record keeping easier for me and i can easily track my farming cashflow. The developer is also very responsive when i contact through support. Thanks for this innovation"	"26" "I like this ap for its usability and the accurate accounting.<br> It has made record keeping easier for me and i can easily track my farming cashflow.<br> The developer is also very responsive when i contact through support.<br> Thanks for this innovation"	2	-1	 "26[0] I[0] like[1] this[0] app/ap[0] for[0] its[0] usability[0] and[0] the[0] accurate[0] accounting[0] [[Sentence=-1,2=word max, 1-5]] It[0] has[0] made[0] record[0] keeping[0] easier[0] for[0] me[0] and[0] i[0] can[0] easily[0] track[0] my[0] farming[0] cashflow[0] [[Sentence=-1,1=word max, 1-5]] The[0] developer[0] is[0] also[0] very[0] responsive[0] when[0] i[0] contact[0] through[0] support[1] [[Sentence=-1,2=word max, 1-5]] Thanks[1] for[0] this[0] innovation[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"27" "I like this app and it's really helped me a lot. I would like to suggest putting an option of taking/attaching a picture of receipts and invoices on the income and expense sections"	"27" "I like this ap and it's really helped me a lot.<br> I would like to suggest putting an option of taking/attaching a picture of receipts and invoices on the income and expense sections"	2	-2	 "27[0] I[0] like[1] this[0] app/ap[0] and[0] it's[0] really[0] helped[0] me[0] a[0] lot[0] [[Sentence=-1,2=word max, 1-5]] I[0] would[0] like[1][-1 LastWordBoosterStrength] to[0] suggest[0] putting[0] an[0] option[0] of[0] taking/attaching[0] a[0] picture[0] of[0] receipts[0] and[0] invoices[0] on[0] the[0] income[0] and[0] expense[-1] sections[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
"28" "Love the app. It would be great if you could add yield tracking option. So that I can keep track of how much yield I got in a season. It would be a great tool for vegetable farmers."	"28" "Love the ap.<br> It would be great if you could add yield tracking option.<br> So that I can keep track of how much yield I got in a season.<br> It would be a great tool for vegetable farmers.	3	-1	 "28[0] Love[2] the[0] app/ap[0] [[Sentence=-1,3=word max, 1-5]] It[0] would[0] be[0] great[2] if[0] you[0] could[0] add[0] yield[0] tracking[0] option[0] [[Sentence=-1,3=word max, 1-5]] So[0] that[0] I[0] can[0] keep[0] track[0] of[0] how[0] much[0] yield[0] I[0] got[0] in[0] a[0] season[0] [[Sentence=-1,1=word max, 1-5]] It[0] would[0] be[0] a[0] great[2] tool[0] for[0] vegetable[0] farmers[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"29" "I keep getting weekly reminders to upgrade to premium. But i upgraded in April. Any idea why this keeps happening? I feel like i need to turn off all notifications for this app."	"29" "I keep getting weekly reminders to upgrade to premium.<br> But i upgraded in April.<br> Any idea why this keeps happening?<br> I feel like i need to turn off all notifications for this ap.	2	-1	 "29[0] I[0] keep[0] getting[0] weekly[0] reminders[0] to[0] upgrade[0] to[0] premium[0] [[Sentence=-1,1=word max, 1-5]] But[0] i[0] upgraded[0] in[0] April[0] [[Sentence=-1,1=word max, 1-5]] Any[0] idea[0] why[0] this[0] keeps[0] happening[0] [[Sentence=-1,1=word max, 1-5]] I[0] feel[0] like[1] i[0] need[0] to[0] turn[0] off[0] all[0] notifications[0] for[0] this[0] app/ap[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"30" "Hi I signed up for the pro version but I can't get transaction details per day? The detailed reports must be able to be collapsed so that one is able to access information for a specific date or specific crop sold that day. Good app, kindly fix this"	"30" "Hi I signed up for the pro version but I can't get transaction details per day?<br> The detailed reports must be able to be collapsed so that one is able to access information for a specific date or specific crop sold that day.<br> Good ap, kindly fix this"	2	-2	 "30[0] Hi[0] I[0] signed[0] up[0] for[0] the[0] pro[0] version[0] but[0] I[0] can't[0] get[0] transaction[0] details[0] per[0] day[0] [[Sentence=-1,1=word max, 1-5]] The[0] detailed[0] reports[0] must[0] be[0] able[0] to[0] be[0] collapsed[-1] so[0] that[0] one[0] is[0] able[0] to[0] access[0] information[0] for[0] a[0] specific[0] date[0] or[0] specific[0] crop[0] sold[0] that[0] day[0] [[Sentence=-2,1=word max, 1-5]] Good[1] app/ap[0] kindly[1] fix[0] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
"31" "I use this app in analysis of income and costs for rice farming, milling and general farm agriculture. It works well and is easy to use once you have set up all the 'cash book' entries you require for analysis. As I use it more I will see if additions to the app might be suggested."	"31" "I use this ap in analysis of income and costs for rice farming, milling and general farm agriculture.<br> It works well and is easy to use once you have set up all the 'cash book' entries you require for analysis.<br> As I use it more I will see if additions to the ap might be suggested.	1	-1	 "31[0] I[0] use[0] this[0] app/ap[0] in[0] analysis[0] of[0] income[0] and[0] costs[0] for[0] rice[0] farming[0] milling[0] and[0] general[0] farm[0] agriculture[0] [[Sentence=-1,1=word max, 1-5]] It[0] works[0] well[0] and[0] is[0] easy[0] to[0] use[0] once[0] you[0] have[0] set[0] up[0] all[0] the[0] 'cash[0] book'[0] entries[0] you[0] require[0] for[0] analysis[0] [[Sentence=-1,1=word max, 1-5]] As[0] I[0] use[0] it[0] more[0] I[0] will[0] see[0] if[0] additions[0] to[0] the[0] app/ap[0] might[0] be[0] suggested[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"32" "I like this app and I like the way the developer immediately responds to our feedback. Its getting better each and everyday. I don't even know how people with mean reviews here have appreciated anything given free of charge. Thumbs up to the developer. This is a nice innovation for any serious farmer."	"32" "I like this ap and I like the way the developer immediately responds to our feedback.<br> Its getting better each and everyday.<br> I don't even know how people with mean reviews here have appreciated anything given free of charge.<br> Thumbs up to the developer.<br> This is a nice innovation for any serious farmer.	2	-2	 "32[0] I[0] like[1] this[0] app/ap[0] and[0] I[0] like[1] the[0] way[0] the[0] developer[0] immediately[0] responds[0] to[0] our[0] feedback[0] [[Sentence=-1,2=word max, 1-5]] Its[0] getting[0] better[0] each[0] and[0] everyday[0] [[Sentence=-1,1=word max, 1-5]] I[0] don't[0] even[0] know[0] how[0] people[0] with[0] mean[0] reviews[0] here[0] have[0] appreciated[1] anything[0] given[0] free[0] of[0] charge[-1] [[Sentence=-2,2=word max, 1-5]] Thumbs[0] up[0] to[0] the[0] developer[0] [[Sentence=-1,1=word max, 1-5]] This[0] is[0] a[0] nice[1] innovation[0] for[0] any[0] serious[-1] farmer[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
"33" "Awesome. Very clear and user friendly. Keeps tract of all my farm activities now...  U 0001F44D . I love  U 0001F60D  it. I really wish I could go pro to export my data, but.... Thanks a lot for this version."	"33" "Awesome.<br> Very clear and user friendly.<br> Keeps tract of all my farm activities now.<br>  U 001F44D .<br> I love  U 001F60D  it.<br> I really wish I could go pro to export my data, but.<br> Thanks a lot for this version.	3	-1	 "33[0] Awesome[2] [[Sentence=-1,3=word max, 1-5]] Very[0] clear[0] and[0] user[0] friendly[1] [[Sentence=-1,2=word max, 1-5]] Keeps[0] tract[0] of[0] all[0] my[0] farm[0] activities[0] now[0] [[Sentence=-1,1=word max, 1-5]] U[0] 0001F44D/001F44D[0] [[Sentence=-1,1=word max, 1-5]] I[0] love[2] U[0] 0001F60D/001F60D[0] it[0] [[Sentence=-1,3=word max, 1-5]] I[0] really[0] wish[0] I[0] could[0] go[0] pro[0] to[0] export[0] my[0] data[0] but[0] [[Sentence=-1,1=word max, 1-5]] Thanks[1] a[0] lot[0] for[0] this[0] version[0] [[Sentence=-1,2=word max, 1-5]][[[3,-1 max of sentences]]]
"34" "Really useful. Nice interfaces and analytics. I had wanted this for a long time . keep up with the good work"	"34" "Really useful.<br> Nice interfaces and analytics.<br> I had wanted this for a long time .<br> keep up with the good work"	3	-1	 "34[0] Really[0] useful[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]] Nice[1] interfaces[0] and[0] analytics[0] [[Sentence=-1,2=word max, 1-5]] I[0] had[0] wanted[0] this[0] for[0] a[0] long[0] time[0] [[Sentence=-1,1=word max, 1-5]] keep[0] up[0] with[0] the[0] good[1] work[0] [[Sentence=-1,2=word max, 1-5]][[[3,-1 max of sentences]]]
"35" "This is a very excellent App. It also reminds you to do certain things one takes for granted in sgriculture. Keep it up. Thanks."	"35" "This is a very excellent Ap.<br> It also reminds you to do certain things one takes for granted in sgriculture.<br> Keep it up.<br> Thanks.	5	-1	 "35[0] This[0] is[0] a[0] very[0] excellent[3][1 LastWordBoosterStrength] App/Ap[0] [[Sentence=-1,5=word max, 1-5]] It[0] also[0] reminds[0] you[0] to[0] do[0] certain[0] things[0] one[0] takes[0] for[0] granted[0] in[0] sgriculture[0] [[Sentence=-1,1=word max, 1-5]] Keep[0] it[0] up[0] [[Sentence=-1,1=word max, 1-5]] Thanks[1] [[Sentence=-1,2=word max, 1-5]][[[5,-1 max of sentences]]]
